recipe_name	ingredients	quantity	unit	URL de la recette
Lasagnes végétariennes (facile)	Tomate	700	g	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	Courgette	500	g	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	Poivre	1	g	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	Sel	1	g	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	Herbes de provence	3	g	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	Lasagnes	200	g	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	Basilic frais	5	g	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	Gruyère râpé	50	g	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	Coulis de tomate	200	g	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	Oignon	400	g	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Lasagnes végétariennes (facile)	Béchamel	50	cl	https://www.marmiton.org/recettes/recette_lasagnes-vegetariennes-facile_10527.aspx
Hachis parmentier végétarien	Poireau	140	g	https://www.marmiton.org/recettes/recette_hachis-parmentier-vegetarien_14594.aspx
Hachis parmentier végétarien	Navet	200	g	https://www.marmiton.org/recettes/recette_hachis-parmentier-vegetarien_14594.aspx
Hachis parmentier végétarien	Carotte	240	g	https://www.marmiton.org/recettes/recette_hachis-parmentier-vegetarien_14594.aspx
Hachis parmentier végétarien	Céleri	50	g	https://www.marmiton.org/recettes/recette_hachis-parmentier-vegetarien_14594.aspx
Hachis parmentier végétarien	Champignon de paris	100	g	https://www.marmiton.org/recettes/recette_hachis-parmentier-vegetarien_14594.aspx
Hachis parmentier végétarien	Oignon	240	g	https://www.marmiton.org/recettes/recette_hachis-parmentier-vegetarien_14594.aspx
Hachis parmentier végétarien	Ail	40	g	https://www.marmiton.org/recettes/recette_hachis-parmentier-vegetarien_14594.aspx
Hachis parmentier végétarien	Sauce soja	15	g	https://www.marmiton.org/recettes/recette_hachis-parmentier-vegetarien_14594.aspx
Hachis parmentier végétarien	Persil	4	g	https://www.marmiton.org/recettes/recette_hachis-parmentier-vegetarien_14594.aspx
Hachis parmentier végétarien	Pain de mie	50	g	https://www.marmiton.org/recettes/recette_hachis-parmentier-vegetarien_14594.aspx
Hachis parmentier végétarien	Huile d'olive	30	g	https://www.marmiton.org/recettes/recette_hachis-parmentier-vegetarien_14594.aspx
Curry de légumes végétarien	Courgette	250	g	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	Ail	120	g	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	Concentré de tomates	30	g	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	Cumin	15	g	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	Basilic	5	g	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	Poivre	1	g	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	Sel	1	g	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	Patate douce	150	g	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	Échalote	120	g	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	Crème de coco	30	cl	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	Pâte de curry	50	g	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	Citron vert	30	g	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Curry de légumes végétarien	Petit piment	20	g	https://www.marmiton.org/recettes/recette_curry-de-legumes-vegetarien_88522.aspx
Hamburger Végétarien 	Farine	30	g	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Épices	3	g	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Petits pois	200	g	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Oignon	120	g	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Oeuf	80	g	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Chapelure	50	g	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Salade	70	g	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Toastinette	120	g	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Mayonnaise	50	g	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Pain pour hamburger	300	g	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Hamburger Végétarien 	Cornichons	50	g	https://www.marmiton.org/recettes/recette_hamburger-vegetarien_19445.aspx
Tourte de Noël végétarienne de Coralie	Gingembre	5	g	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Tomate	200	g	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Sucre en poudre	5	g	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Vinaigre balsamique	30	g	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Huile d'olive	30	g	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Madère	12	cl	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Champignon	275	g	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Coriandre	2	g	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Cannelle	2	g	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Thym	2	g	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Miel	30	g	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Pâte feuilletée	400	g	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Marrons	400	g	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Épinards	250	g	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Échalote	80	g	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Beurre	20	g	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Tourte de Noël végétarienne de Coralie	Oeuf	80	g	https://www.marmiton.org/recettes/recette_tourte-de-noel-vegetarienne-de-coralie_15536.aspx
Paëlla végétarienne	Champignon	250	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	Ail	80	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	Tomates concassées	200	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	Noix de cajou	150	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	Safran	1	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	Poivre	1	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	Sel	1	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	Riz rond	350	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	Oignon	240	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	Petits pois	150	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	Haricots verts	80	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	Poivron rouge	100	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	Poivron vert	100	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Paëlla végétarienne	Poivre de cayenne	1	g	https://www.marmiton.org/recettes/recette_paella-vegetarienne_47534.aspx
Ragoût végétarien aux légumes	Carotte	320	g	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
Ragoût végétarien aux légumes	Ail	160	g	https://www.marmiton.org/recettes/recette_ragout-vegetarien-aux-legumes_65191.aspx
